detect T,t_detect,keypoints,descr T,t_extract,matches,t_match,ttc_camera,ttc_lidar,t_total,imgNumber
BRISK,138.574,3130,ORB,26.2335,2997,21.5738,10.1712,9.51617,186.382,0016
BRISK,139.586,3136,ORB,26.1795,3050,21.8912,9.66681,9.54658,187.657,0017
BRISK,140.211,3146,ORB,26.2697,3077,22.1667,10.3853,8.3988,188.647,0018
BRISK,109.663,2997,FREAK,72.8884,2400,17.1888,14.0524,12.5156,199.74,0001
BRISK,108.638,2974,FREAK,71.6668,2465,17.6274,22.3027,12.6142,197.932,0002
BRISK,132.555,2952,FREAK,87.6402,2471,19.2806,15.4384,14.091,239.476,0003
BRISK,132.099,2855,FREAK,86.9505,2466,18.6782,13.5966,16.6894,237.727,0004
BRISK,134.502,2907,FREAK,87.413,2393,18.7352,24.9991,15.9082,240.65,0005
BRISK,137.13,2886,FREAK,87.4372,2451,18.8809,14.1783,12.6787,243.449,0006
BRISK,149.919,2886,FREAK,67.0274,2428,17.9515,14.3633,11.9844,234.898,0007
BRISK,130.396,2893,FREAK,66.6458,2416,16.5157,17.0617,13.1241,213.558,0008
BRISK,148.602,2929,FREAK,66.6348,2403,17.4792,18.1064,13.0241,232.716,0009
BRISK,138.193,3023,FREAK,67.3372,2432,24.6869,13.5649,11.1746,230.217,0010
BRISK,137.484,3013,FREAK,67.1658,2486,16.7777,12.1424,12.8086,221.427,0011
BRISK,137.826,2949,FREAK,69.1084,2443,16.9903,12.6028,8.95978,223.925,0012
BRISK,136.63,3013,FREAK,67.6108,2398,16.9079,12.3649,9.96439,221.149,0013
BRISK,136.494,3023,FREAK,67.2135,2435,16.8226,11.5903,9.59863,220.53,0014
BRISK,151.714,3073,FREAK,67.5903,2444,17.6447,12.3993,8.57352,236.949,0015
BRISK,177.675,3130,FREAK,74.5943,2498,18.1756,10.1257,9.51617,270.445,0016
BRISK,186.364,3136,FREAK,69.4421,2563,18.7454,8.84666,9.54658,274.551,0017
BRISK,184.297,3146,FREAK,69.3169,2569,18.618,10.6055,8.3988,272.232,0018
BRISK,107.528,2997,SIFT,84.0345,2896,27.9489,15.3532,12.5156,219.512,0001
BRISK,108.012,2974,SIFT,82.7264,2997,28.6583,15.5834,12.6142,219.397,0002
